Source	Type	Target	Oriented	Weight
O96014	pd	Q13467	true	0.75
P04628	pd	O00144	true	0.75
P17252	pd	O00418	true	0.536564
P62834	pd	O43566	true	0.75
Q13972	pd	P01112	true	0.75
P01111	pd	O00329	true	0.75
Q9H1J7	pd	Q9ULV1	true	0.75
P01106	pd	P56270	true	0.426525
P17612	pd	Q96D31	true	0.536564
P08572	pd	P13612	true	0.536564
P06241	pd	P35222	true	0.75
P23458	pd	P40763	true	0.85
P63211	pd	Q9NQ66	true	0.536564
P06213	pd	P62993	true	0.536564
O15520	pd	P22607	true	0.75
O95750	pd	P08581	true	0.536564
P17612	pd	Q92793	true	0.75
O60353	pd	Q9NQ66	true	0.656746
P21462	pd	P50148	true	0.536564
P78509	pd	P06756	true	0.536564
P67870	pd	P51946	true	0.426525
P23511	pd	P06493	true	0.426525
Q9Y4K3	pd	P35968	true	0.723012
Q9HAV0	pd	O00555	true	0.505993
Q99570	pd	Q9Y243	true	0.426525
Q14155	pd	P60763	true	0.536564
P17612	pd	Q04206	true	0.75
Q9HCE7	pd	P17948	true	0.723012
O95999	pd	Q9Y6K9	true	0.75
P17252	pd	Q15139	true	0.536564
P01106	pd	P10809	true	0.75
P84022	pd	Q9NQB0	true	0.426525
Q9H0M0	pd	P07333	true	0.723012
P49810	pd	P46531	true	0.85
P62258	pd	P48730	true	0.505993
P63218	pd	P27361	true	0.75
Q8N474	pd	P04628	true	0.85
P16144	pd	P12931	true	0.536564
P09603	pd	P22455	true	0.536564
Q92542	pd	P46531	true	0.85
P05783	pd	Q15628	true	0.75
P16234	pd	P27986	true	0.75
O00206	pd	P04899	true	0.75
Q01094	pd	P40692	true	0.426525
Q9NYJ8	pd	P53779	true	0.75
Q9Y397	pd	P01112	true	0.426525
Q15796	pd	Q13873	true	0.75
P01106	pd	O75928	true	0.75
Q9NYJ8	pd	P53778	true	0.75
P15692	pd	P00533	true	0.536564
Q9BQ87	pd	O95996	true	0.75
P29597	pd	Q92569	true	0.75
P07550	pd	P63096	true	0.536564
P63096	pd	P48544	true	0.536564
P22607	pd	Q92569	true	0.536564
P63096	pd	P48549	true	0.536564
Q96GM5	pd	O00716	true	0.426525
O75928	pd	Q9Y4K3	true	0.426525
Q13555	pd	O60840	true	0.75
P08754	pd	Q16539	true	0.75
O95467	pd	O43306	true	0.536564
P31749	pd	Q92922	true	0.75
Q16787	pd	Q13797	true	0.536564
P19838	pd	Q07817	true	0.426525
Q6FHJ7	pd	Q9UBV4	true	0.75
Q05655	pd	Q92997	true	0.426525
Q9H461	pd	O14641	true	0.75
Q9H461	pd	O14640	true	0.75
Q16659	pd	P04637	true	0.426525
P07948	pd	Q92569	true	0.75
P01106	pd	Q15181	true	0.426525
Q07890	pd	P63267	true	0.426525
P04004	pd	Q9UKX5	true	0.536564
Q02750	pd	P27361	true	0.85
P01106	pd	Q15121	true	0.426525
P42224	pd	Q12933	true	0.75
P05230	pd	P29317	true	0.536564
O75116	pd	Q04206	true	0.536564
P28482	pd	Q9UNK4	true	0.536564
Q13546	pd	Q9NYJ8	true	0.85
P10721	pd	Q8WYR1	true	0.536564
Q9UKW4	pd	P63000	true	0.75
P01308	pd	P08581	true	0.536564
Q09472	pd	P16104	true	0.426525
Q13751	pd	P26012	true	0.536564
Q9UBI6	pd	Q16539	true	0.536564
Q9UQK1	pd	O15169	true	0.426525
Q9Y6X2	pd	Q9Y4K3	true	0.426525
P50151	pd	O60840	true	0.505993
P04275	pd	Q05397	true	0.536564
O15530	pd	Q9Y243	true	0.75
P04792	pd	Q9Y243	true	0.426525
P41235	pd	P01019	true	0.426525
O60346	pd	Q9Y243	true	0.75
P01106	pd	Q15102	true	0.426525
Q92765	pd	O00144	true	0.426525
O75461	pd	P06493	true	0.426525
P15153	pd	O14639	true	0.536564
P00519	pd	Q15139	true	0.426525
P17612	pd	Q92806	true	0.505993
O75581	pd	P49841	true	0.426525
P16403	pd	Q86U86	true	0.426525
Q13464	pd	O14986	true	0.521588
P46934	pd	P07333	true	0.723012
P51817	pd	Q07699	true	0.75
O14775	pd	Q15147	true	0.536564
P02751	pd	P18084	true	0.536564
P36873	pd	O96017	true	0.426525
P22455	pd	Q8WYR1	true	0.536564
P00519	pd	P68366	true	0.426525
P04899	pd	P01112	true	0.536564
P18827	pd	P04628	true	0.536564
O95467	pd	Q9UP65	true	0.536564
P35916	pd	Q05397	true	0.536564
Q9Y478	pd	Q12778	true	0.75
P68400	pd	O60936	true	0.426525
P17252	pd	O14939	true	0.85
O43915	pd	P08069	true	0.536564
P08754	pd	P0C869	true	0.536564
Q5T4F7	pd	Q9ULV1	true	0.75
Q9Y243	pd	P19838	true	0.75
P27361	pd	O43889	true	0.75
P22612	pd	Q06710	true	0.536564
P01106	pd	Q8TCU6	true	0.426525
P07996	pd	P26012	true	0.536564
P42684	pd	P63000	true	0.536564
P56704	pd	O75581	true	0.85
P30154	pd	Q9UBS0	true	0.85
Q00987	pd	P08581	true	0.723012
P01106	pd	P22732	true	0.426525
P01106	pd	P22736	true	0.426525
P56703	pd	Q9UP38	true	0.85
P04004	pd	P26012	true	0.536564
Q9Y6F9	pd	Q13467	true	0.75
Q15717	pd	P01106	true	0.426525
P61952	pd	P27361	true	0.75
P05771	pd	Q06710	true	0.536564
O60260	pd	P21796	true	0.426525
P42338	pd	P49841	true	0.75
P01127	pd	P06213	true	0.536564
P01127	pd	P21802	true	0.536564
Q13145	pd	Q9H461	true	0.75
P07942	pd	P05106	true	0.536564
Q9HAV0	pd	Q15147	true	0.536564
P20827	pd	P07333	true	0.536564
P63215	pd	Q16539	true	0.536564
P01106	pd	O00329	true	0.426525
Q00535	pd	P40763	true	0.85
Q92914	pd	P07333	true	0.536564
Q9NYG5	pd	P06493	true	0.75
Q09472	pd	P41182	true	0.426525
Q9H4P4	pd	P08069	true	0.723012
P00533	pd	Q07890	true	0.85
Q13315	pd	Q8TAD8	true	0.426525
Q00987	pd	Q92993	true	0.426525
P05129	pd	P08754	true	0.75
P00533	pd	Q07889	true	0.85
Q9UJX5	pd	P06493	true	0.75
P24385	pd	Q08999	true	0.75
P62136	pd	O60840	true	0.75
Q14676	pd	O96019	true	0.426525
Q9UBV4	pd	O75581	true	0.75
P00519	pd	P07437	true	0.426525
P05412	pd	P01375	true	0.75
P01106	pd	O00232	true	0.426525
P04839	pd	O15264	true	0.536564
P22694	pd	P19838	true	0.75
P08514	pd	P46108	true	0.536564
P63218	pd	Q01970	true	0.536564
P29350	pd	P27361	true	0.75
P68400	pd	P16220	true	0.426525
P26012	pd	P12931	true	0.536564
P12956	pd	P19838	true	0.426525
P49674	pd	Q12778	true	0.75
Q6FHJ7	pd	Q9GZT5	true	0.75
P68400	pd	Q9UJU2	true	0.426525
Q8TEW0	pd	P57087	true	0.75
P28482	pd	Q9UP65	true	0.75
Q9UP38	pd	P09471	true	0.75
P01106	pd	O75822	true	0.426525
O15085	pd	P60763	true	0.426525
P17252	pd	P10721	true	0.85
Q92905	pd	Q15843	true	0.426525
Q9Y6Q6	pd	P19838	true	0.75
P00519	pd	P19447	true	0.426525
P60953	pd	Q9NPB6	true	0.75
O00141	pd	Q96PU5	true	0.75
O95067	pd	P53350	true	0.521588
P68400	pd	P18846	true	0.426525
Q14526	pd	P25106	true	0.426525
P06213	pd	P35568	true	0.75
O43684	pd	Q9UJX2	true	0.75
P15391	pd	P42338	true	0.536564
P01106	pd	O00291	true	0.426525
O15055	pd	O00327	true	0.75
Q8WVC0	pd	O75150	true	0.426525
P16220	pd	Q13873	true	0.426525
Q9GZP0	pd	P29317	true	0.536564
Q13522	pd	O96017	true	0.426525
P55210	pd	O43521	true	0.426525
Q12778	pd	O43521	true	0.426525
O75038	pd	Q9ULU4	true	0.426525
Q16787	pd	Q13683	true	0.536564
Q9NP95	pd	P22455	true	0.75
406953	pd	P03372	true	0.426525
P52798	pd	Q02763	true	0.536564
Q96SB3	pd	Q9Y243	true	0.426525
Q09472	pd	P06899	true	0.426525
P22612	pd	Q92793	true	0.75
P46108	pd	Q92569	true	0.536564
Q7LDG7	pd	Q9UP65	true	0.75
P49747	pd	P18084	true	0.536564
P05129	pd	O60262	true	0.75
Q86YW0	pd	P05771	true	0.426525
P09769	pd	Q8WYR1	true	0.75
Q13315	pd	P68104	true	0.426525
P58876	pd	Q96RL1	true	0.426525
P52797	pd	P08069	true	0.536564
Q16531	pd	P68431	true	0.426525
P19174	pd	Q05655	true	0.75
P17612	pd	Q92934	true	0.85
Q9UI47	pd	P62258	true	0.536564
P01579	pd	O43541	true	0.75
P05067	pd	P30679	true	0.426525
Q13485	pd	Q14186	true	0.85
P04792	pd	P19838	true	0.75
O75928	pd	Q13485	true	0.85
Q03060	pd	P16220	true	0.75
O43915	pd	P08138	true	0.536564
Q96Q83	pd	P16104	true	0.426525
P01106	pd	Q8TD16	true	0.426525
Q92905	pd	Q13216	true	0.426525
O00144	pd	P35222	true	0.75
Q13557	pd	Q15796	true	0.85
Q16363	pd	Q05397	true	0.536564
114614	pd	Q13546	true	0.426525
Q08043	pd	P60709	true	0.75
P42574	pd	P09874	true	0.75
Q13555	pd	P16220	true	0.536564
Q96J02	pd	P16234	true	0.723012
