Source	Type	Target	Oriented	Weight
P31946	pd	P49674	true	0.505993
Q9Y219	pd	Q04721	true	0.85
P17612	pd	P20020	true	0.75
Q92569	pd	P49841	true	0.75
P26232	pd	P63104	true	0.536564
Q16584	pd	O14733	true	0.75
Q01094	pd	P26358	true	0.426525
P01116	pd	Q99759	true	0.75
P22681	pd	P16871	true	0.75
P01106	pd	O96020	true	0.426525
P01106	pd	P08575	true	0.426525
P01106	pd	P08579	true	0.426525
P35609	pd	P60709	true	0.75
P42575	pd	Q12933	true	0.426525
P22612	pd	P09471	true	0.75
P24385	pd	O75182	true	0.426525
P07948	pd	Q05397	true	0.85
P40189	pd	O00459	true	0.536564
P01106	pd	Q96EY1	true	0.75
P01106	pd	P08567	true	0.426525
P61024	pd	Q13309	true	0.75
P67775	pd	Q05513	true	0.75
P35626	pd	P07550	true	0.521588
Q9NR80	pd	P15153	true	0.536564
P01100	pd	P29459	true	0.426525
P25054	pd	P31350	true	0.426525
P01100	pd	P29460	true	0.426525
P42684	pd	P30876	true	0.426525
P43405	pd	P42338	true	0.75
P43405	pd	P42336	true	0.75
P06241	pd	O75051	true	0.75
P04626	pd	O00459	true	0.75
Q7LDG7	pd	P01112	true	0.536564
P05556	pd	P51817	true	0.536564
Q15796	pd	Q8WYQ5	true	0.426525
Q9HCE7	pd	P04629	true	0.723012
P50591	pd	O43521	true	0.426525
P00533	pd	P35568	true	0.75
Q07325	pd	P51681	true	0.75
Q99704	pd	Q04759	true	0.75
P01106	pd	Q9H9S3	true	0.426525
P30304	pd	P50613	true	0.426525
P04234	pd	Q99759	true	0.75
P01100	pd	Q9Y259	true	0.75
Q16512	pd	Q04206	true	0.75
O14920	pd	Q99704	true	0.85
P22612	pd	Q05397	true	0.75
P01563	pd	P16871	true	0.536564
Q13761	pd	P01730	true	0.426525
O95257	pd	O95067	true	0.75
Q8N474	pd	Q9Y6F9	true	0.75
P63215	pd	O00329	true	0.536564
P19320	pd	P48736	true	0.656746
P06756	pd	Q00722	true	0.75
Q9Y265	pd	P62805	true	0.426525
P50151	pd	P42338	true	0.536564
P50151	pd	P42336	true	0.536564
P23511	pd	Q01094	true	0.426525
P01106	pd	Q9H8W4	true	0.426525
Q00005	pd	P51617	true	0.75
O75914	pd	P04049	true	0.521588
P62879	pd	O00329	true	0.536564
Q9BPZ7	pd	Q9Y243	true	0.426525
Q16787	pd	Q9UKX5	true	0.536564
P17612	pd	Q05586	true	0.75
O14807	pd	Q92569	true	0.536564
P68400	pd	P78527	true	0.426525
P06213	pd	P48736	true	0.75
O95813	pd	P41221	true	0.75
406886	pd	P52926	true	0.426525
P17612	pd	O14827	true	0.75
O15264	pd	Q16082	true	0.75
P31749	pd	O14920	true	0.85
P14598	pd	O15264	true	0.536564
O15230	pd	P05106	true	0.536564
Q9Y243	pd	P04049	true	0.75
406955	pd	Q13315	true	0.426525
O15111	pd	Q92985	true	0.75
P01375	pd	O15105	true	0.75
P49792	pd	Q9NQB0	true	0.426525
Q9UM11	pd	O75943	true	0.75
Q66LE6	pd	P46937	true	0.75
P48730	pd	P49841	true	0.505993
O00463	pd	Q92569	true	0.75
P49841	pd	Q13233	true	0.426525
Q4FZB7	pd	P62805	true	0.426525
O75197	pd	P49841	true	0.426525
P45983	pd	P17535	true	0.85
Q15796	pd	P28749	true	0.536564
P49841	pd	Q13224	true	0.75
P11142	pd	P45984	true	0.505993
P11142	pd	P45983	true	0.75
Q9HAU4	pd	Q8NER5	true	0.426525
P49137	pd	P26651	true	0.426525
P10275	pd	P27986	true	0.85
P27695	pd	P27540	true	0.426525
P01106	pd	P31040	true	0.426525
P30304	pd	P50750	true	0.426525
P56705	pd	Q9ULV1	true	0.75
P17066	pd	P45983	true	0.505993
P84022	pd	Q15797	true	0.75
Q96BI3	pd	P46531	true	0.85
P25098	pd	P07550	true	0.521588
P04626	pd	P19174	true	0.75
P62745	pd	Q13153	true	0.426525
P08754	pd	O00459	true	0.75
P01106	pd	P55060	true	0.75
P30153	pd	P51617	true	0.75
P08581	pd	Q00722	true	0.536564
P09619	pd	P19174	true	0.75
Q16787	pd	P26006	true	0.536564
O95644	pd	P01375	true	0.75
P09471	pd	O00329	true	0.75
Q16787	pd	P26010	true	0.536564
Q16787	pd	P26012	true	0.536564
Q99683	pd	P46734	true	0.75
P17612	pd	Q6IN85	true	0.75
Q04759	pd	P45983	true	0.536564
Q01094	pd	Q9UQC2	true	0.426525
