Source	Type	Target	Oriented	Weight
Q8WXH5	pd	P40763	true	0.75
Q9Y4K3	pd	P22455	true	0.723012
Q9P286	pd	O14733	true	0.656746
Q9Y6K9	pd	P35568	true	0.75
P41597	pd	P04899	true	0.536564
P01106	pd	P11926	true	0.426525
P62879	pd	O00555	true	0.505993
O00329	pd	P31749	true	0.75
P28482	pd	Q13485	true	0.75
Q9H2X6	pd	Q9UBE8	true	0.426525
O75293	pd	O95067	true	0.75
O00329	pd	P31751	true	0.75
Q96J02	pd	P17948	true	0.723012
Q16288	pd	P98077	true	0.75
Q05513	pd	Q04206	true	0.85
Q05923	pd	P28482	true	0.75
Q9Y3M8	pd	P61587	true	0.426525
Q9Y3M8	pd	P61586	true	0.426525
P17301	pd	P22694	true	0.536564
P46531	pd	P12644	true	0.426525
O15111	pd	Q04206	true	0.85
P56704	pd	Q9H461	true	0.85
P17612	pd	P09471	true	0.75
Q14344	pd	Q92997	true	0.426525
P49796	pd	P08754	true	0.505993
P68400	pd	P25054	true	0.426525
P56705	pd	Q14332	true	0.75
Q92997	pd	Q04206	true	0.426525
Q7L5N1	pd	Q15843	true	0.426525
P02751	pd	P05556	true	0.75
P50613	pd	P06493	true	0.75
Q96HP0	pd	P60763	true	0.426525
Q9BVC4	pd	Q9Y243	true	0.426525
P50151	pd	P27361	true	0.75
P09619	pd	O00329	true	0.75
O75159	pd	P40763	true	0.75
Q9BVC4	pd	P05771	true	0.75
P36873	pd	P46019	true	0.75
P09544	pd	Q9ULV1	true	0.75
P17947	pd	P07333	true	0.75
Q16363	pd	P18084	true	0.536564
P35626	pd	P32302	true	0.521588
P04629	pd	Q9NRF2	true	0.75
P45984	pd	Q04206	true	0.75
P07948	pd	P00519	true	0.426525
P42224	pd	Q9Y4K3	true	0.75
P09544	pd	Q9ULW2	true	0.75
Q16363	pd	P08648	true	0.536564
P05230	pd	P16234	true	0.536564
P42261	pd	Q13224	true	0.75
Q13418	pd	P31749	true	0.75
P10599	pd	P19838	true	0.426525
Q9Y6F9	pd	Q9ULV1	true	0.75
P48436	pd	P03971	true	0.426525
P49841	pd	P30279	true	0.75
Q9Y6F9	pd	Q9ULW2	true	0.75
2310	pd	P84022	true	0.426525
P49841	pd	P30281	true	0.75
P49841	pd	P42261	true	0.75
P49841	pd	P42262	true	0.75
O60260	pd	P05412	true	0.426525
P17612	pd	O14610	true	0.75
P04626	pd	P42336	true	0.75
P04626	pd	P42338	true	0.75
O00744	pd	O75581	true	0.75
Q9UBV4	pd	O60353	true	0.75
406937	pd	P15941	true	0.426525
P01106	pd	P35626	true	0.426525
Q14209	pd	P33992	true	0.426525
Q14209	pd	P33993	true	0.426525
P46109	pd	P42336	true	0.536564
P46109	pd	P42338	true	0.536564
P05019	pd	P35968	true	0.536564
Q07889	pd	P27361	true	0.426525
P00533	pd	P13688	true	0.85
P01106	pd	P08243	true	0.426525
P48736	pd	P31751	true	0.75
Q09472	pd	P68431	true	0.426525
Q53ET0	pd	Q9Y243	true	0.75
Q9UBT3	pd	O75197	true	0.75
Q93009	pd	Q12778	true	0.426525
Q13418	pd	P31751	true	0.75
O75676	pd	Q04206	true	0.426525
Q9Y297	pd	P35222	true	0.85
P17612	pd	P61952	true	0.75
P00519	pd	P06733	true	0.426525
O14905	pd	O60353	true	0.75
P42336	pd	P49841	true	0.75
Q92769	pd	Q06330	true	0.505993
P21333	pd	P68133	true	0.426525
P45983	pd	P42224	true	0.426525
Q99558	pd	P19838	true	0.656746
Q9NQC7	pd	Q12933	true	0.75
P28482	pd	P17676	true	0.426525
Q9Y4H2	pd	P27986	true	0.85
P32239	pd	P29992	true	0.536564
P28562	pd	Q16659	true	0.426525
P15153	pd	P45985	true	0.536564
P01106	pd	P11802	true	0.426525
P42336	pd	Q06187	true	0.75
P04628	pd	Q9H461	true	0.85
P67775	pd	P05129	true	0.505993
P15692	pd	P11362	true	0.536564
P68133	pd	P16104	true	0.426525
O60907	pd	P35222	true	0.75
P04085	pd	P35968	true	0.536564
P48736	pd	P31749	true	0.75
Q8WU20	pd	P62993	true	0.85
Q99558	pd	Q15750	true	0.536564
P48729	pd	O15534	true	0.426525
P22607	pd	P19174	true	0.426525
Q969G3	pd	O00716	true	0.426525
O75460	pd	Q12933	true	0.75
P05019	pd	P35916	true	0.536564
P10721	pd	P27986	true	0.85
P01106	pd	Q5JS13	true	0.426525
P31749	pd	P22736	true	0.75
O15524	pd	P35568	true	0.505993
Q93098	pd	O00144	true	0.75
P04085	pd	P35916	true	0.536564
Q92574	pd	P49841	true	0.75
O94805	pd	O00716	true	0.426525
Q13164	pd	P19838	true	0.426525
P21802	pd	P46108	true	0.536564
Q15759	pd	Q12778	true	0.75
Q9H0M0	pd	P35968	true	0.723012
Q93097	pd	O60353	true	0.75
Q9UBI6	pd	Q15147	true	0.536564
P09341	pd	P32302	true	0.75
Q16787	pd	P18564	true	0.536564
Q9NP95	pd	P35968	true	0.536564
Q14209	pd	P06493	true	0.426525
Q13163	pd	P28482	true	0.426525
Q9NYJ8	pd	P27361	true	0.75
P08238	pd	Q9Y243	true	0.75
P21802	pd	P48736	true	0.536564
P27361	pd	P03372	true	0.75
P01106	pd	Q5JSL3	true	0.426525
P38936	pd	Q16254	true	0.426525
P16298	pd	Q9UJX2	true	0.75
Q96BR1	pd	O43524	true	0.75
P45984	pd	P40763	true	0.426525
Q9H1J5	pd	Q9ULW2	true	0.75
P01106	pd	Q9H3N1	true	0.426525
P53778	pd	P67775	true	0.75
Q04206	pd	P21580	true	0.75
Q9H1J5	pd	Q9ULV1	true	0.75
P41221	pd	Q9ULV1	true	0.75
P09619	pd	Q05397	true	0.75
P04637	pd	Q92851	true	0.426525
P07942	pd	P06756	true	0.536564
P41221	pd	Q9ULW2	true	0.75
P62879	pd	O00459	true	0.536564
Q09472	pd	Q71DI3	true	0.85
Q92542	pd	Q04721	true	0.85
P42336	pd	O15530	true	0.75
P46934	pd	P21802	true	0.723012
Q92905	pd	Q16531	true	0.426525
P01106	pd	P08195	true	0.426525
Q03014	pd	P35968	true	0.426525
Q14185	pd	P60763	true	0.75
P62070	pd	P48736	true	0.536564
P62136	pd	Q8TEY5	true	0.75
P41597	pd	P63096	true	0.536564
O00716	pd	O95067	true	0.426525
P04637	pd	P08581	true	0.426525
Q14209	pd	Q14207	true	0.426525
Q16512	pd	P62993	true	0.426525
Q13315	pd	Q96EY1	true	0.426525
Q9NP95	pd	P35916	true	0.536564
P01106	pd	Q92499	true	0.75
Q16531	pd	P0C0S5	true	0.426525
P53778	pd	P31749	true	0.505993
P45983	pd	P19838	true	0.75
P51817	pd	P59768	true	0.75
P53778	pd	P31751	true	0.505993
