Source	Type	Target	Oriented	Weight
P31946	pd	P49674	true	0.505993
Q9Y219	pd	Q04721	true	0.85
P09603	pd	P08138	true	0.536564
P05771	pd	Q05586	true	0.656746
Q92569	pd	P49841	true	0.75
P09544	pd	Q9UP38	true	0.85
P26232	pd	P63104	true	0.536564
P42336	pd	Q08881	true	0.536564
Q16584	pd	O14733	true	0.75
P31371	pd	P06213	true	0.536564
Q01094	pd	P26358	true	0.426525
P06493	pd	P19784	true	0.75
Q96HS1	pd	O00429	true	0.75
P01116	pd	Q99759	true	0.75
P01106	pd	O96020	true	0.426525
P01106	pd	P08575	true	0.426525
P35813	pd	P52564	true	0.75
P01106	pd	P08579	true	0.426525
P35609	pd	P60709	true	0.75
P42575	pd	Q12933	true	0.426525
P24385	pd	O75182	true	0.426525
P07948	pd	Q05397	true	0.85
P01106	pd	Q96EY1	true	0.75
P07333	pd	Q9NQ66	true	0.536564
P01106	pd	P08567	true	0.426525
O15520	pd	P35916	true	0.536564
Q9NR80	pd	P15153	true	0.536564
P01100	pd	P29459	true	0.426525
P25054	pd	P31350	true	0.426525
O75925	pd	Q05516	true	0.426525
P01100	pd	P29460	true	0.426525
P42684	pd	P30876	true	0.426525
P43405	pd	P42338	true	0.75
P05771	pd	P22694	true	0.656746
P43405	pd	P42336	true	0.75
Q00987	pd	P07333	true	0.723012
P04626	pd	O00459	true	0.75
P48736	pd	P16885	true	0.75
Q7LDG7	pd	P01112	true	0.536564
P05556	pd	P51817	true	0.536564
Q15796	pd	Q8WYQ5	true	0.426525
P50591	pd	O43521	true	0.426525
P00533	pd	P35568	true	0.75
Q07325	pd	P51681	true	0.75
Q99704	pd	Q04759	true	0.75
P01106	pd	Q9H9S3	true	0.426525
P30968	pd	P29992	true	0.75
P01100	pd	Q9Y259	true	0.75
O15520	pd	P35968	true	0.536564
Q9Y4K3	pd	P22607	true	0.723012
O14920	pd	Q99704	true	0.85
O00329	pd	P16885	true	0.75
P05771	pd	P22612	true	0.656746
Q8N474	pd	Q9Y6F9	true	0.75
P60953	pd	Q8TEW0	true	0.75
P19320	pd	P48736	true	0.656746
P06756	pd	Q00722	true	0.75
Q9Y265	pd	P62805	true	0.426525
P50151	pd	P42338	true	0.536564
P50151	pd	P42336	true	0.536564
P23511	pd	Q01094	true	0.426525
P01106	pd	Q9H8W4	true	0.426525
Q00005	pd	P51617	true	0.75
P62879	pd	O00329	true	0.536564
Q13485	pd	Q15329	true	0.85
Q9BPZ7	pd	Q9Y243	true	0.426525
Q16787	pd	Q9UKX5	true	0.536564
Q6FHJ7	pd	O00755	true	0.85
Q7Z3G6	pd	Q9ULK5	true	0.75
Q6FHJ7	pd	O00744	true	0.75
Q13237	pd	Q00722	true	0.75
P17612	pd	Q05586	true	0.75
Q9Y6W8	pd	P48736	true	0.536564
P68400	pd	P78527	true	0.426525
P06213	pd	P48736	true	0.75
P20827	pd	P08581	true	0.536564
P04004	pd	Q13797	true	0.536564
O95813	pd	P41221	true	0.75
P42336	pd	P23443	true	0.85
P31371	pd	P21802	true	0.75
P08069	pd	P04899	true	0.536564
O15264	pd	Q16082	true	0.75
P31749	pd	O14920	true	0.85
Q9UQB8	pd	Q8N8S7	true	0.536564
O15230	pd	P05106	true	0.536564
Q13315	pd	Q92945	true	0.426525
Q15172	pd	Q7Z3S7	true	0.75
406955	pd	Q13315	true	0.426525
P08069	pd	P16885	true	0.75
O15111	pd	Q92985	true	0.75
P01375	pd	O15105	true	0.75
Q9UM11	pd	O75943	true	0.75
P48730	pd	P49841	true	0.505993
Q9BVC4	pd	Q13541	true	0.75
O00463	pd	Q92569	true	0.75
P49841	pd	Q13233	true	0.426525
O75197	pd	P49841	true	0.426525
Q9H1J5	pd	Q9UP38	true	0.75
P45983	pd	P17535	true	0.85
Q15796	pd	P28749	true	0.536564
P49841	pd	Q13224	true	0.75
P11142	pd	P45984	true	0.505993
P11142	pd	P45983	true	0.75
Q9HAU4	pd	Q8NER5	true	0.426525
P06401	pd	P27986	true	0.536564
P10275	pd	P27986	true	0.85
P27695	pd	P27540	true	0.426525
P56705	pd	Q9ULW2	true	0.75
P01106	pd	P31040	true	0.426525
P56705	pd	Q9ULV1	true	0.75
P84022	pd	Q15797	true	0.75
P05771	pd	O14920	true	0.85
P62745	pd	Q13153	true	0.426525
Q9UM11	pd	O14965	true	0.426525
P01106	pd	P55060	true	0.75
P30153	pd	P51617	true	0.75
Q9NP95	pd	P08069	true	0.536564
